# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Client_Info,,,,,,,,,,
# 20201001-20210320,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Date,Metro,Region,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions
Eagle Mountain,20210203,Salt Lake City UT,Utah,1,0,1,100.00%,1,00:00:00,0
Eagle Mountain,20210204,Salt Lake City UT,Utah,1,1,5,60.00%,1.6,00:04:38,0
Eagle Mountain,20210212,Salt Lake City UT,Utah,1,1,1,0.00%,3,00:00:54,0
East Millcreek,20201223,Salt Lake City UT,Utah,1,1,1,100.00%,1,00:00:00,0
East Millcreek,20210104,Salt Lake City UT,Utah,1,1,1,100.00%,1,00:00:00,0
East Millcreek,20210105,Salt Lake City UT,Utah,1,0,1,100.00%,1,00:00:00,0
East Patchogue,20201231,"New York, NY",New York,1,1,1,100.00%,1,00:00:00,0
East Renton Highlands,20210223,Seattle-Tacoma WA,Washington,1,1,1,0.00%,5,00:02:24,0
Eastvale,20201230,Los Angeles CA,California,1,1,1,100.00%,1,00:00:00,0
Economy,20210104,Pittsburgh PA,Pennsylvania,1,1,1,100.00%,1,00:00:00,0
Edina,20210206,Minneapolis-St. Paul MN,Minnesota,1,1,1,100.00%,1,00:00:00,0
Edina,20210314,Minneapolis-St. Paul MN,Minnesota,1,1,1,100.00%,1,00:00:00,0
Elmwood,20210125,New Orleans LA,Louisiana,1,1,1,0.00%,2,00:00:20,0
Ensley,20210309,Mobile AL-Pensacola (Ft. Walton Beach) FL,Florida,1,1,1,100.00%,1,00:00:00,0
Exeter,20210125,Boston MA-Manchester NH,New Hampshire,1,1,1,0.00%,3,00:01:07,0
Exeter,20210127,Boston MA-Manchester NH,New Hampshire,1,0,1,100.00%,1,00:00:00,0
Fair Oaks Ranch,20210115,San Antonio TX,Texas,1,1,1,100.00%,1,00:00:00,0
Fairmount,20210205,Syracuse NY,New York,1,1,2,100.00%,1,00:00:00,0
Fairmount,20210216,Syracuse NY,New York,1,0,1,100.00%,1,00:00:00,0
