# ----------------------------------------,,,,,,,,
# All Web Site Data,,,,,,,,
# Client_Info,,,,,,,,
# 20200101-20210320,,,,,,,,
# ----------------------------------------,,,,,,,,
,,,,,,,,
Browser,Device Category,Date,Sessions,Avg. Session Duration,Bounce Rate,Users,Pages / Session,Transactions
Chrome,desktop,20200127,14,00:05:45,21.43%,14,7.71,2
Chrome,desktop,20200218,14,00:04:39,14.29%,14,5.79,4
Chrome,desktop,20200716,14,00:00:38,50.00%,14,3.07,0
Chrome,desktop,20200730,14,00:03:52,28.57%,14,5.43,1
Chrome,desktop,20200818,14,00:04:23,35.71%,12,3.43,0
Chrome,desktop,20200820,14,00:05:18,14.29%,14,4.71,1
Chrome,desktop,20201211,14,00:01:09,50.00%,12,3,2
Chrome,desktop,20201230,14,00:01:39,28.57%,13,3.29,0
Chrome,desktop,20210104,14,00:02:30,35.71%,13,3.79,0
Chrome,desktop,20210114,14,00:06:24,42.86%,12,8.36,0
Chrome,desktop,20210213,14,00:02:51,50.00%,12,3.29,0
Chrome,desktop,20210301,14,00:05:48,21.43%,14,4.64,3
Chrome,mobile,20200709,14,00:01:38,42.86%,12,2.29,0
Chrome,mobile,20200711,14,00:04:16,14.29%,8,3.71,0
Chrome,mobile,20200712,14,00:01:15,42.86%,12,1.93,0
Chrome,mobile,20200713,14,00:01:10,21.43%,5,3.57,0
Chrome,mobile,20200718,14,00:02:22,14.29%,10,3.86,1
Chrome,mobile,20200831,14,00:00:33,28.57%,6,3.14,1
Chrome,mobile,20200925,14,00:01:38,35.71%,12,4.07,0
Safari,desktop,20200127,14,00:05:25,28.57%,12,5.71,4
Safari,mobile,20200113,14,00:04:07,42.86%,6,2.14,0
Safari,mobile,20200206,14,00:02:31,57.14%,10,2.93,2
Safari,mobile,20200214,14,00:01:07,42.86%,11,2.57,0
Safari,mobile,20200531,14,00:03:50,42.86%,10,3,0
Safari,mobile,20200604,14,00:00:25,35.71%,10,2.57,1
Safari,mobile,20200605,14,00:02:11,57.14%,11,1.79,0
Safari,mobile,20200609,14,00:00:40,50.00%,11,3.07,0
Safari,mobile,20200614,14,00:02:27,28.57%,11,4.79,1
Safari,mobile,20200728,14,00:02:28,21.43%,9,2.79,0
Safari,mobile,20200821,14,00:01:34,21.43%,10,3.43,1
Safari,mobile,20200827,14,00:00:26,50.00%,13,2.36,1
Safari,mobile,20200829,14,00:03:00,14.29%,14,4.14,0
Safari,mobile,20200912,14,00:00:35,35.71%,12,2.93,0
Safari,mobile,20201021,14,00:01:24,50.00%,10,2.43,0
Safari,mobile,20201209,14,00:02:47,50.00%,8,5.71,1
Safari,mobile,20210104,14,00:02:25,21.43%,12,4.64,1
Safari,mobile,20210105,14,00:02:29,21.43%,13,5.36,3
Safari,mobile,20210108,14,00:02:09,42.86%,14,2.36,0
Safari,mobile,20210113,14,00:00:29,28.57%,14,2.57,0
Chrome,desktop,20200118,13,00:00:41,61.54%,13,1.92,0
Chrome,desktop,20200124,13,00:02:50,23.08%,12,5.85,1
Chrome,desktop,20200209,13,00:08:54,0.00%,12,9.15,8
Chrome,desktop,20200215,13,00:10:32,15.38%,10,10.77,6
Chrome,desktop,20200506,13,00:00:55,30.77%,13,4.54,0
Chrome,desktop,20200707,13,00:02:27,23.08%,13,3.46,0
Chrome,desktop,20200817,13,00:03:51,23.08%,13,3.31,1
